         247145 function calls in 13.410 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.exec}
      148    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       14    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:286(_is_owned)
       10    0.000    0.000    0.000    0.000 {method 'play' of 'pygame.mixer.Channel' objects}
      124    0.000    0.000    0.000    0.000 {method 'get_size' of 'pygame.surface.Surface' objects}
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/Documents/senior project/tanks/maps.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       14    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:271(__enter__)
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/_distutils_hack/__init__.py:89(find_spec)
      124    0.000    0.000    0.000    0.000 {method 'count' of 'pygame.mask.Mask' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        8    0.000    0.000    0.000    0.000 {built-in method pygame.transform.rotozoom}
       52    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1027(objectgroups)
        5    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/queue.py:34(__init__)
       14    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:274(__exit__)
      136    0.000    0.000    0.000    0.000 {built-in method math.sin}
      104    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:944(get_layer_by_name)
        5    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/xml/etree/ElementPath.py:183(prepare_descendant)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
      135    0.000    0.000    0.000    0.000 {method 'copy' of 'pygame.rect.Rect' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        2    0.000    0.000    0.000    0.000 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:447(get_p1_select)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       52    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:621(<listcomp>)
        4    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:243(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/_weakrefset.py:85(add)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       13    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        5    0.000    0.000    0.000    0.000 {method 'play' of 'pygame.mixer.Sound' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
       14    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.mixer.init}
        5    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/xml/etree/ElementPath.py:108(_is_wildcard_tag)
        1    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.mixer_music.stop}
        8    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:562(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:453(set_p1_select)
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:811(_newname)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        5    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        5    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/xml/etree/ElementPath.py:178(prepare_self)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        5    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 {built-in method pygame.mixer_music.play}
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:1324(_make_invoke_excepthook)
        3    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:1221(daemon)
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:456(set_p2_select)
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:1453(current_thread)
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/queue.py:206(_init)
        2    0.000    0.000    0.000    0.000 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:450(get_p2_select)
        6    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
